id	g6	aut	edges	L	ratio	ratio_float	beat	aut_ge_T
25	Osa????WyfH[PwN_Fg@x?	2304	40	80019061455629269/66356636688835758382842412416368640000000000	129630879558119415780/7628328998218493	16993.3519632	0	1
112	Otaky@@GWbhBPROlfc@u@	32	48	14241227801092248553/10451170278491631945297679955578060800000000000	1025368401678641895816/53398302987529451	19202.2656959	0	0
46	OsaKiCaC`RbMYKTYLabiC	16	48	1128889051328820109/816497678007158745726381246529536000000000000	5201920748523203062272/266991514937647255	19483.4684156	0	0
54	OsaSXCdOha`T[DRRNEAyC	16	48	36226576009483703237/26127925696229079863244199888945152000000000000	5216626945365653266128/266991514937647255	19538.549555	0	0
32	OsaC???FzrMkYwXwJw@|?	256	48	1408332666459360337/1004920219085733840894007688036352000000000000	5272797503223845101728/266991514937647255	19748.932862	0	0
111	Otakw?@QYbKLPLOufc@u@	32	48	4834184301939645533/3265990712028634982905524986118144000000000000	5568980315834471654016/266991514937647255	20858.2670394	0	0
44	OsaKg?dQGid\[S[qLSQy_	16	48	31082708603253844379/17418617130819386575496133259296768000000000000	6713865058302830385864/266991514937647255	25146.3611489	0	0
97	Osqsy@@GWRcdGtUEESqyA	16	48	23560898597324802509/13063962848114539931622099944472576000000000000	6785538796029543122592/266991514937647255	25414.8106453	0	0
96	Osqsw@@AXCclW]USEXaxA	16	48	98836748617068636799/52255851392458159726488399777890304000000000000	7116245900428941849528/266991514937647255	26653.4533957	0	0
79	OsfDw@@GXPCZP]TSFDayA	16	48	1662829393253315153/803936175268587072715206150429081600000000000	1556408312085102983208/53398302987529451	29147.1493476	0	0
78	OsfDw?@G`bgmW\RWFFAyA	16	48	117795979298550834719/52255851392458159726488399777890304000000000000	8481310509495660099768/266991514937647255	31766.2174076	0	0
74	Osedw@??pJhMP\UWEjBpA	16	48	1870178848068906449/791755324128153935249824239058944000000000000	8887089886023443445648/266991514937647255	33286.0386522	0	0
124	Ouj\w?@?YBcMSUILIhPTI	32	48	188703001386101003/77761683619729404354893452050432000000000000	1304315145580730132736/38141644991092465	34196.6149044	0	0
116	Otmt[|?GIBgVPFQMiEx~?	16	56	292919432414952100117/107497751435913928580204708114517196800000000000	292919432414952100117/7628328998218493	38398.898695	0	0
110	Ota\W@@GYChJS]PZFc@u@	16	48	6746836537220434679/2375265972384461805749472717176832000000000000	10686989074957168531536/266991514937647255	40027.4483534	0	0
73	Osedw?HOYFGbSZW\Fg@w`	16	48	1641337191300385099/527836882752102623499882826039296000000000000	11699451499589144985672/266991514937647255	43819.5629637	0	0
72	Osedw?DOYFHBSZW\Fg@w`	16	48	9027517508399818303/2903102855136564429249355543216128000000000000	11699662690886164520688/266991514937647255	43820.3539675	0	0
29	Osa?AKUB`KKEWKERBHRs?	256	40	215548388130011089/57424012519184790908229010744934400000000000	403506582579380758608/7628328998218493	52895.8023013	0	0
65	OseW?CBSaPgjK_IGcgZF?	192	40	9425597433470371/1481174926090083892474160991436800000000000	684072159331545645696/7628328998218493	89675.2302492	0	0
33	OsaC???RxnNKYw\WJs@}?	32	48	7323211970451107047/653198142405726996581104997223628800000000000	8436340189959675318144/53398302987529451	157988.919459	0	0
28	Osa??cQAWJIRKeZ_LgBX?	128	40	39284988090497292757/2986048650997609127227908558736588800000000000	1414259571257902539252/7628328998218493	185395.723177	0	0
84	Osf_?KFO`CBRSSKQdDAP`	64	40	112706944662812887/8294579586104469797855301552046080000000000	1460682002830055015520/7628328998218493	191481.254043	0	0
23	Osa????Dw^KwXgUWFKBs?	128	40	52490444641511283049/2986048650997609127227908558736588800000000000	1889656007094406189764/7628328998218493	247715.588504	0	0
68	OseW?CbOyHCaSaQQdO`aH	64	40	9099730515305078827/497674775166268187871318093122764800000000000	1965541791305897026632/7628328998218493	257663.47935	0	0
26	Osa????WyuFKRWJgIs@m?	96	40	16018391734806730439/746512162749402281806977139684147200000000000	2306648409812169183216/7628328998218493	302379.251124	0	0
30	Osa?OGgPGqasKsSwLGbKO	32	40	38740431570433263107/1493024325498804563613954279368294400000000000	2789311073071194943704/7628328998218493	365651.648444	0	0
93	OsiWA@@AgMkXSkK_DCGiB	32	40	46064813638048391959/1493024325498804563613954279368294400000000000	3316666581939484221048/7628328998218493	434782.844672	0	0
89	OsiW??`CjCiKPPQad[?m_	32	40	47158846281084630271/1493024325498804563613954279368294400000000000	3395436932238093379512/7628328998218493	445108.874176	0	0
71	OseWOLAOYECXSLKADAHHB	32	40	24197854558101122573/746512162749402281806977139684147200000000000	3484491056366561650512/7628328998218493	456783.006761	0	0
91	OsiW?CBWieHEPRK_DCGiB	32	40	171127160472414059/5078314032308859059911409113497600000000000	3622419732880060800912/7628328998218493	474864.119485	0	0
70	OseW?SFGHAiOKeQBGajF?	32	40	3379478573197633789/99534955033253637574263618624552960000000000	3649836859053444492120/7628328998218493	478458.239007	0	0
69	OseW?CbOyPCaSaKPGhPSI	32	40	9099021955957473091/248837387583134093935659046561382400000000000	3930777484973628375312/7628328998218493	515286.832266	0	0
27	Osa??CH@gqctUSXgNGBk?	32	40	5748392544006001/121187039407370500293340444753920000000000	5099054122235083127040/7628328998218493	668436.576795	0	0
129	O{uw?CB?oD_[?V?Nn?Bg@	512	40	331741733393953511/6665287167405377516133724461465600000000000	5350330676177682225408/7628328998218493	701376.497714	0	0
85	Osf_GK_O@Ba[SLQcBJ@TA	16	40	2864106354403325323/55297197240696465319035343680307200000000000	5567822752960064427912/7628328998218493	729887.601106	0	0
92	OsiWA?RG_KiPWWQRAePU_	16	40	264171140949710171/4443524778270251677422482974310400000000000	6390828241855388456832/7628328998218493	837775.644358	0	0
75	Oseg?D@AqcgfWwEOEOHHB	16	40	6419384081863614997/99534955033253637574263618624552960000000000	6932934808412704196760/7628328998218493	908840.561286	0	0
67	OseW?CFOQ`eAH`IPh[BCo	16	40	105579449631182783791/1493024325498804563613954279368294400000000000	7601720373445160432952/7628328998218493	996511.867176	0	0
66	OseW?CFOQ`eAHPI`h[BCo	16	40	26396524626170852089/373256081374701140903488569842073600000000000	7602199092337205401632/7628328998218493	996574.622583	0	0
24	Osa????ExN@{UWXgNGBk?	32	40	114656071403684662871/1493024325498804563613954279368294400000000000	8255237141065295726712/7628328998218493	1082181.58171	0	0
90	OsiW?CAOWNKQEQDWkUBoG	16	40	66523399693964958601/746512162749402281806977139684147200000000000	9579369555930954038544/7628328998218493	1255762.50817	0	0
17	Os_??KE@_KKKWWEEBBBo?	4096	32	559107894041054401/4308872512262062232652104702361600000000000	13948623740536225196148/7628328998218493	1828529.38616	0	1
101	Otk?GKF@?C_J?NW?I?IOB	4608	32	4018475348074100569/16158271920982733372445392633856000000000000	133670563978336881327216/38141644991092465	3504583.08784	0	1
141	O~?GW[??G@_F????_?W?F	7962624	24	284193445691/616836235407084196937072640000000000	49527175336003553569920/7628328998218493	6492532.68279	0	1
11	Os_????@zKIgIgLGHW?r?	384	32	6585751453088443/7344669054992151532929723924480000000000	96390111987634945898880/7628328998218493	12635809.4951	0	0
102	Ouk?GKE@OD?J?NW?I?HOB	512	32	178936939743160877/89768177338792963180252181299200000000000	214277701090194122851008/7628328998218493	28089729.8924	0	0
22	Os_?IGbC`Ga_O`ISB@QPG	96	32	181228072645364707/65952130289725442336511806668800000000000	295390159815295169068752/7628328998218493	38722787.1116	0	0
113	Otk?GGB?WBgAOBD_@oJ?K	128	32	46326674795862250693/9233298240561561927111652933632000000000000	2696768393216733337340916/38141644991092465	70704040.0026	0	0
13	Os_????BWfKoTOLGHS@U?	64	32	5884375089873796613/1154162280070195240888956616704000000000000	2740329941853867587487648/38141644991092465	71846139.3706	0	0
19	Os_?A?_DOhA[BWQaDQBK?	32	32	22474047903220258067/2693045320163788895407565438976000000000000	4485460376716311986044128/38141644991092465	117600076.708	0	0
18	Os_??L@GOS`SEKT@E`BK?	32	32	28567972896429562019/3231654384196546674489078526771200000000000	950285050426832951000016/7628328998218493	124573160.21	0	0
16	Os_??DAGOZAqIGSCho@i?	32	32	9024850994552734049/1009891995061420835777837039616000000000000	4803242295724834326494976/38141644991092465	125931702.653	0	0
14	Os_??CDAGaiaIaX_HS@i?	32	32	152700419334669566609/16158271920982733372445392633856000000000000	5079426748748448463681776/38141644991092465	133172723.671	0	0
15	Os_??CDCGQePJCX_ISAY?	32	32	152716117837981457521/16158271920982733372445392633856000000000000	5079948943762615202978544/38141644991092465	133186414.612	0	0
21	Os_?GGC@?RaUSgISLGBc?	32	32	4096223930138742427/310735998480437180239334473728000000000000	7085353226231026660769856/38141644991092465	185764227.733	0	0
125	Ouk?GKC?_J?YGIODDCQ_a	32	32	12267271729793444911/659521302897254423365118066688000000000000	9997433907086304212227848/38141644991092465	262113338.568	0	0
12	Os_????AwjKgJ_RGESAe?	16	32	82372213451441165537/4039567980245683343111348158464000000000000	10960117232994955721691072/38141644991092465	287353029.361	0	0
