n	best_parts	beat	ratio_float	L_c5	L_kbal	ratio_exact
33	6,7,6,7,7	1	3.225341237226076e-09	3398067295077509119487162125935708570345039328396821557154650412082200017427056958242429299/94126771075961443603066461385937837018345204183354241332649495902441674325253178735431732595047118229300088615705561741195182023889442306118821722124604874792727380304026568162174566400000000000000000000000000000000000000	1274973642886233787221957873752501391737503615927819404626631466272614248294774959729391461869/113909005873455008979980181365630177783353819534339935768118362914433298187103139434242866262239819666027547171559669980950248363810234572934269621706590882895486465461759319736320000000000000000000000000000000000000	2946124344832200406595369563186259330489149097720044290053081907275267415109258382796186202233/913430278579139135836585143192384305120994807874253044447531889423187410825013155163024131541702906335
34	6,7,7,7,7	1	1.45550144593792e-07	188318129437016074802165129873734304569544025459635541502562661228279027472695304872362285803/4585776034335822167614582024257913768933936506691931909900523223406751951354805157130044182935485062958498016101621217469088725191700061015598797394510466061785429689047727187809129804972687360000000000000000000000000000000000000000	1274973642886233787221957873752501391737503615927819404626631466272614248294774959729391461869/4518918998545289411379239314096565510613984857343584020948985319686760831217156369409699372903246903173443515105215900467777278569650567083993739086316307488443380037365404251553966902476800000000000000000000000000000000000000	9306493638647897400648198553230075597522296194189728825515144155240321258673129271487271802098457/63940119500539739508560960023466901358469636551197713111327232259623118757750920861411689207919203443450
35	7,7,7,7,7	1	3.988647881564036e-14	188318129437016074802165129873734304569544025459635541502562661228279027472695304872362285803/223415098560194381284202328029211676525181993531765317109207110258276678473292382148498783516946461472773344929062457472843988546292528529207951509525891346906821856193052386497860478034197608465956864000000000000000000000000000000000000000000	7353428616830603795834036684371210504150088105954509124653716208754262837808163605480688196951044005649/347965324199316519077452171327561292239427923830088945899882950485145807664283859577931760104577388420181299316362829111069079297669483386425691317439908778516973724352448305309636479424839683565158400000000000000000000000000000000000000000	1469446363997036431681294508404748778556152030661536130344496445564261251369441463919042916120809/36840714137464409170147502958883186481844462161272620487060741474439900588733088704276275270165715223521518245
36	7,7,7,7,8	1	1.964809465315745e-08	1472149715913710576630850840122651743255190064853699630565342983403598044049063658161664186930331281407839/579166239206881995188894061688766245929770613326094321567338442319589306299964278953311495869863032821673981820469315255639079022664286287276407452712131027953580541666278107771360091766650112172891728572132790947020800000000000000000000000000000000000000000000	7353428616830603795834036684371210504150088105954509124653716208754262837808163605480688196951044005649/56840983142708908406752373413375188230081671260410725111364724536686179206060754058966769108091275086208373752864223205327151200910031655432475977832443592124586858110780718624931870002729553564933979226767360000000000000000000000000000000000000000000	13249347443223395189677657561103865689296710583683296675088086850632382396441572923454977682372981532670551/674332431572148545450379894159397845363681035399934045395159811948147940376170455643072942545113251451337869956480
37	7,7,7,8,8	1	1.15355086450978e-13	33501243214652441974180717780347939073328046582378456680688074165703230531481474914262959991029444246589262159/46533015313194584199993077914787155242055633826720815825765643133199541977526097265475620571919790419298056128441525212536205904855010841337973520697755696026621631470955229900080372547151752566026678591465875783124827746483568640000000000000000000000000000000000000000000000	2918938091089448155626716790751228820201176214878834146707248726726811345160978800006125128716517575044497897093372223/467694114400710885464989843601800841915788233506884593884476494041527425532196575838550215792377246307180692372317247701580950552535885116443151256650940239022896254420786063976336045770231716756330126587242885144041834414080000000000000000000000000000000000000000000000	5728712589705567577584902740439497581539095965586716092397660682335252420883332210338966158466034966166763829189/49661551700540520278229728736187802616052485211823656515725752305080022244067783760462610293927224486214667998055090665321664
38	7,8,7,8,8	1	1.63932564859354e-09	893682507324616006100886235941844521849092852411939183302508445043329766808559509520949537042054779150093916894153939/58659704713488175939800574145331136429270374039149003344836703843203793132974584195964441409275046151439023746368723705413269923063069186009899660296529973694245233966678194645864832307060387354789672478486070177409622259653390087826404540416000000000000000000000000000000000000000000000000	2918938091089448155626716790751228820201176214878834146707248726726811345160978800006125128716517575044497897093372223/314084665172809597931541382042101465338937017466499866653051079729141385197036523962935008147841496197052670717157817808744125112348595749736361078522950758059687124698157393057538215408756570101708004238156376311695933076429944651776000000000000000000000000000000000000000000000000	1223451352527399312352113257004385150411408114951944741941134061264318450760917968534179916210572992656478572228096742491/746313798955722938741236363447430297714036747763285910118326605640742574283850654352232107497138329578834030674771902518453966592
39	7,8,8,8,8	1	2.575362065190392e-15	2493147184025840391366728613315953702425343258596327730079640706547415608145451044935327833275543832353530990609164812459831/3343362358263743761606710874601788786402822679673470908894301535812021218229416732936463399896678109796755281574751424748432926419982476983400103595414622751203663810238684761826272213783130845720747598177121116628116995245592273311637304365081898069618851840000000000000000000000000000000000000000000000000	182397069373595344864840826058972797724751662296378855820255076938817047715184078555356873432291723803178698686361162846250463779051/629929113964012447346840634505676814421182312278667878299314556948350934568809126847458656697314465121994358670439700816124240493263433883086804118318222292718854072180153511466278642706619624077202678238874799318983773308784791135005167660041450291200000000000000000000000000000000000000000000000000	610821060086330895884848510262408657094209098356100293869511973104116823995635506009155319152508238926615092699245379052658595/237178712982702106830987223474384435973672442259101114496045090336755557492623303781147454912481855630384457099320017324970692031742338217984
40	8,8,8,8,8	1	4.706879481374803e-15	2493147184025840391366728613315953702425343258596327730079640706547415608145451044935327833275543832353530990609164812459831/5043296419065036969937400621103168769795688373834297176979420701630598549602691204449604014443454689302612571145055566922499967269337021629906768171188728233321328103685155009902661619710428903291781493310922507040125951198444774639302639565266788033118948462495268864000000000000000000000000000000000000000000000000000	182397069373595344864840826058972797724751662296378855820255076938817047715184078555356873432291723803178698686361162846250463779051/1736670835251946125320700001206677309054305984559912631143894333212527767070265631541144909283696888660837603566843662012440952757104979092341793089148950384088719880363117825007211587600170496302713697816724837373920261610434989407383407093976714799209963847680000000000000000000000000000000000000000000000000000	1081764097412892016612066711674725731713844313188653620442905704367390895296270481142214070219092091139035329170363566302258371745/229826172880238341519226619546678518458488596549068979946667692536316135210351981363931883810194918105842538929241096787896600578758325733226496
41	8,8,8,8,9	1	1.532875436729312e-16	664603112546159777150226306674423186650392766008416867754266906159687812406285094752477302177944310860981772428394111826170295916709217203/2046615084051950996679348777077865499461272913756009721761407963829508602339586603492857048407587964960990908030742090571368227210376170462062273470648827208731004577390223684636238468011899867160573611520473371986865249781835263310703784442220053612175069596763867202989741165953155072000000000000000000000000000000000000000000000000000000	153665042294123862521822526856547487935108734949020978160080102781887350541572761960722808212748272431204307379353209651864525016338248577828493277/72536357738703076862369318933897100947430760925148255554439190404957700550173265797758520697562296302410540994524136777901836815647541733061257463094748251757470902825163478357927696785873940783141122457745134757732375783088830858802004465667757577343813292297707739011019177984000000000000000000000000000000000000000000000000000000	634409528540075192314514375335897466857678772255888481035322806345947035400855156612777505862698122874256509525199738931795553202917200756250507/4138689376442168751093547974330661144055221670632851171527779038009810491661029459983818691220987595809417746267459304113833335779292483056577200084753338434304
42	8,8,8,9,9	1	2.595941307913018e-14	9230093347296164319293356339212976156001209594824094983769976969413445052040334034001372752969012034976934892254627474137468026043675913755257/1897149586882399893811178014814104681564130953621726497958370670544164913071896196249619157253535368955231655089111421146860504825450091210827307235149967496819536657385228219170702024639236987607723947948417581424786639992575295250689996637334136557418357784067929284449496585998095058684690804244480000000000000000000000000000000000000000000000000000000	153665042294123862521822526856547487935108734949020978160080102781887350541572761960722808212748272431204307379353209651864525016338248577828493277/819908580457129024558763934664227908854486022647484267508733609005746469461171893062307697608441181641640354123223956368334733994605862854423672644378284704675527933441225980935557175498555870858119360773894543948916251810911216511032380458536018125267981719724034416972598460074621570908160000000000000000000000000000000000000000000000000000000	318446075291156218051456512349092347624750488050796472244895393695164825137130810497310295145643691835946019154377956545723137883796982192758972223707/12267075311774588178241276195916079630979677031755770872408337068661078297283291319392038600779007233979114199936749377393402007249822919779694821051208895119277056
43	8,9,8,9,9	1	5.420180351411509e-18	78995362722839529606613684364610488541024839933049035792267078883433044201682642798332262554292234519261039601653035558619979431609930392087827802453942043/5941897288204724695115489963459057626296630637790343662537635246231757179542399618925548521762538427059132383623562412066236330656160851501584410701990793177163568753799826559024072105263636708834555434254594811943419812506138278934082947238049820935703094935523809827383839526951598410862689398506975592308731658895360000000000000000000000000000000000000000000000000000000000	123132705746784849509211427659779757920871206983323400983559296452060810126636916563356874436909400094048832793278387583316912322700589982516463268550002441043053/50200807512534088419073753892927942185073503185713817465215511874696064622293037823425014113530221565949626168173346456499790319830011993354777661879729401325000498419445918787424216228773025433795077785117869769203720574410672807325258260361285793735866502284966905625673020482146044927965088812297474801664000000000000000000000000000000000000000000000000000000000	389343891284520129695409619832065162598729341404139251366096205823224260925523829781640634125502256229440251057390104786521382284719842653970532275160126969739799/71832276057590632782515029952774896404507330166126754073880605038292020831226152302922358439676300607276996137778180971548436709808310862215686202929441979129012944455797993640960
44	8,9,9,9,9	1	4.651924402133013e-16	99973407272092473030870800508068603811448042954495304174769250574342887523011323893715704708811106032732317785968796103931362086273632094665724039682510150579/4055813430202423517883835218810208375055513761305438614592362697171839375829474483779326747051191389946121816756311154228410782628129984708026570551097442594723603167304372323113847865716961752737180299958035286558966739728749164491366962318609132851843541351706538198564039945538453808514025532000749766460823882613894823829590507520000000000000000000000000000000000000000000000000000000000	123132705746784849509211427659779757920871206983323400983559296452060810126636916563356874436909400094048832793278387583316912322700589982516463268550002441043053/2323804275430663659782454650263919977741395071111992364814994305004381569358036550077665403822916899811965289279848519937806343147735543239005102502787149973242889960362472423578456591369879643771423385959072657627580208664090675679223300873366130610940676246789317321752420093729008213681813919202443411096188768495861760000000000000000000000000000000000000000000000000000000000	1618997049998079877876951294639403705125845378712995351005469654883317813527489253271550681304691391770438221078005397463585266612413095937106957504177561433788036383/3480273774990266158312853201211943730798380146548841234879515314105248409272907079076588266402316764422570462875352868071521758590212661274349996531931463888800677158883412791904512
45	9,9,9,9,9	1	1.180085158460849e-24	99973407272092473030870800508068603811448042954495304174769250574342887523011323893715704708811106032732317785968796103931362086273632094665724039682510150579/187901299239851369338598231604495147204403784769054660811424718676685939892220992040463297039983500156500401338628691236129037191015411505479856575102593044233069729099930275072297821996015138168341812101936699183542131997648526203202836917463253368742436753604697411506349628110298342828406420640851025659573750956111284703954163984820283742617600000000000000000000000000000000000000000000000000000000000	1108485250342118164923828104674533191144872735291985756227934553126885643706933837286367642435747241894452324182711286958648648987086874764303369087017172808694816813899499087887057/2458603843812356255070569036948042666686087671954916586399241200958588740886679403492248232162387571515702146597953115489901963091768013607351401854418918873914785144551433601393623254181770118409656077907885053759120919355584524132611895628121591161651285581125886528087626207304549425831554936765000745375102013396037453650832156947245957120000000000000000000000000000000000000000000000000000000000000	1861846607497791859558493988835314260894722185519944653656290103115815485556612641262283283500395100536003954239706207083123056604275060327673001129804195648856241840450/1577722246694589607026749460613529487289010382661594526066500866840271574724455741318293941177499918672403153178003448867986265527220791970875118529858781430212121529923811807703609789962559903
46	9,9,9,9,10	1	3.468754855602863e-17	12425898322924187762620229940789215201791324435170856490162521267182798557605966284298216960390472132298914434620864462701871845245921511987224643355104099711387136653349173587/150460152157006772181177324230620891351690542618279090777706526465928576870635745426920544118548617888874331153176471169184400432816330741504407917126950243228646141081724415958194761430611881953574794820055223177647826364073992158158508481102899444520682364352435112998710429880747259698931522297151742880891046520437618859535191584400052608084147457686214924335841280000000000000000000000000000000000000000000000000000000000000	1108485250342118164923828104674533191144872735291985756227934553126885643706933837286367642435747241894452324182711286958648648987086874764303369087017172808694816813899499087887057/465583121996722877738289987550178546981088819339126656640151493141816535629998955415591652891129349758847664872843940639790338059920448822448384925419492015483016388601340966043943921324596099639491714317082247450829853522283317868006821930326789460804918289572748025115393467852979470720032616755113937775790175616829916776292112493351735537573640011776000000000000000000000000000000000000000000000000000000000000000	41576123846130112939645092864635154874053637210749048001847033970898605263857742739790511583194490469262245279658815927365760553804459934995854614817926684826823005206857333634082975/1198589279924892946099793458230255897375512031666482715074616442535086954231870128856542633936781978215749985856716508091213693975967526777105944046659596817406427877797000135065201542995396908069488
47	9,9,9,10,10	1	5.007662648808431e-24	964623801121403124445051114789235407261916052850811708324532454031895061021786607037292165183335253592450744970388107020176250612359743007858430082985041374099152095368589196089907/14598250137759878660465364282439387235407011693732309688766600461365295997742340176546033566400830733946054596157375529449913782581903844796250332985489394516593498932126499450706844141739721409066310576916965830655655036127488676990749000532411300757467001609799847978038769087592804351179562302498487013972136601599491917684672302067130538713548533541325168481528662379683393830912000000000000000000000000000000000000000000000000000000000000000	44197985492135678952245943834476355711559400116478196191881945833303815916582810165472090363593353488521126519509729674999357932540383086996354630524002372614218075896135104077844745444592767690741/3349502964538801234432669968804617872945816128995484566219643365276427750034851330428230074694049901793465304855022040678113567139516478597529314282265578590927264953908721332064631492457184107849430192425608846038786595904682905335553529255613951266220663753335484263994198286856425672016337862041969017632588599406685062235414610096666102115204395422422525107675355676672000000000000000000000000000000000000000000000000000000000000000000	2727287263543225483039192465307240745636188366418950079573518257311884867331676543412807760683438102077991041240963723799353322023985008289415566435722907252889636126118244051008418156733875/544622802055601992175850355929301947015767206568363023644693785212289335605107945369057229424096833160561767169635010806779496977451273235793877293425995457235137671501617277202447510018745681527292078978444115776
48	9,10,9,10,10	1	1.541523782762641e-18	1676020593618466760055372936622644389351893465702316197971138806303504913248029886473050486615314335969914164296919409488422884158541917196504985809944969584283031282545533458548265420904081588433/63769895033973394058414864126801179648165961308593217059536897033956325666686783591852193736211575703382132823076276026690463628373179711992184247645322551294972274568275857272127742617349787250406768638181314212935364942798993829239078509389228354918114836018125934525881683845132422495279922050270408953428537018832225873920148229823645707507816047132947373811609482138479790196000168617091769974967500800000000000000000000000000000000000000000000000000000000000000000	44197985492135678952245943834476355711559400116478196191881945833303815916582810165472090363593353488521126519509729674999357932540383086996354630524002372614218075896135104077844745444592767690741/2592322659259579569128395070999773378173494113155124147221450653511758643879238029995479854166032761249523481448516953692077114141960417442595887307416117724347325861725034410458374767441756962528161744644009733110727571413218332031273711153612961348903713241665312774276033633414311587723570786640605914714834071059538104504908213595411205798428463096002113623680176571155611518815436800000000000000000000000000000000000000000000000000000000000000000000	62641269686490195157069563506271334052027018280624067899171312885593496132645117006930261937247373306875541890597362929629805295425504155219373844646693238212578294185139313013241420106290049367683375/40635941129774631442216722606953006172687438583685270283201537396044544197503919127821467059020137012608995133827977061326238607978571849942288566494393799050685327083750169903906216065028671535795843888818650810394688
49	9,10,10,10,10	1	2.620281190456073e-26	422416619744345158150464090492238314311382418004071787876434462605007512076052430877518510975153664078320619057615510690006187270120178232667818049836945926687901566075708559058309646673332702617471/261471967851312910858124964499046519898073586613685791038263908010270463619656793489478517560470629249648184718238212283858771182642604842849457917051665345400562585426956818631669254531243346865493545120393934418715891370460035795882429197128863832117060680519410591317684830605583552787954634671126793352081653617127153537961465224081813447952814102296560048667505641419554268755871851005597340819513203002360375279616000000000000000000000000000000000000000000000000000000000000000000	15024670929013072219027140994250386939960878133847835252783397423708465074860192116056623322430377281688762164244980308142635144724908646620522631871529689608168126968167355352498700739027104710675721061535137858799/243689606475793284144580267837231231298093239846146957887508280125563088072101470991149495869033159425149180973323533395313539741191940385214436558420668981693453392417984158717405470846766455844729876919389062792562410600080241748569616431147175304682739094268323690751806353725868894640998343828838677268428278064846203386179122295551649203895149414971910817402894619935415410451770196320810670562413117440000000000000000000000000000000000000000000000000000000000000000000000	13340708882688440741563188097914558912792790602602344695740068643683521620446878365419929923803431124713512001000230856672939155591526703921835946172694196638416471272107268248609652972531359247477141938125/509132719468417955322895297919561553741646661126883525176882020105632228273325714296592981850033296702852566209205677730657595028619244802536589648428278193838507857579401754710791274293007475203437667158779732290621976420267834576
50	10,10,10,10,10	1	5.856794518588574e-26	422416619744345158150464090492238314311382418004071787876434462605007512076052430877518510975153664078320619057615510690006187270120178232667818049836945926687901566075708559058309646673332702617471/369689036061312357935279133219486107199777523483523758125144762427781935663640240767719724897389667491974548042355403512651354216893195847651059911580803133810818500153292202826936270522008789603665230217492495789151867588719312698674861964098603253836049463370250864783158067659710807527846056858424927914156182024179779994444289584923750422000550517588783814019499410757484910752447603496731211003338562422771588942252566874213580800000000000000000000000000000000000000000000000000000000000000000000	15024670929013072219027140994250386939960878133847835252783397423708465074860192116056623322430377281688762164244980308142635144724908646620522631871529689608168126968167355352498700739027104710675721061535137858799/770123773429554149835951124845125267920044476416442391018673115746567767398780289280529788467916310817218080297985048999928637738861224879927116320172530030575925941064644805990620244107919012447956380665689441464906690808668684326737770804217960935517949265545708208655991726078054495108132836382154111937555798733068286157217752465886955582153223507766354152715978979998186714072874276143398856422212891449425890639872000000000000000000000000000000000000000000000000000000000000000000000000	656014858535679412117737640814842005668202007458402254386174679826350563161974757882171336687899156610912264049185265169438877607565943571112889353100745060784740391684926973442500761388389882995506414435625/11200919828305195017103696554230354182316226544791437553891404442323909022013165714525045600700732527462756456602524910074467090629623385655804972265422120264447172866746838603637408034446164454475628677493154110393683481245892360672
