id	g6	aut	edges	L	ratio	ratio_float	beat	aut_ge_T
34	Q~~~~~~???_B?F?F_Bw?~?F{?^w	263363788800	72	2200453451294991512083/2881657382291313298001639051759143747136048332800000000000000	1/1	1	0	1
185	Q}aKSMoQYRGvPmMUFJ@kNL`x~_?	36864	72	5366961408143093543/6985836078281971631519124973961560599117692928000000000000	4427743161718052172975/4400906902589983024166	1.00609789294	0	1
188	Q~aK^~~???_B[F[FmBw[wBfCM[W	559872	72	16748354279433084191909/11526629529165253192006556207036574988544193331200000000000000	16748354279433084191909/8801813805179966048332	1.9028298769	0	1
71	QsbfC}]WB?BBEEXfkror{E^`~_?	9216	72	79851410088326044057/10291633508183261778577282327711227668343029760000000000000	22358394824731292335960/2200453451294991512083	10.1608124505	0	1
36	QsaCCMEX_rbMXb][nMR{W^b@~_?	9216	72	4046945376322260833107/174645901957049290787978124349039014977942323200000000000000	133549197418634607492531/4400906902589983024166	30.345835614	0	1
83	QseSc]M?BamEZFYfKrbBfV{?~o?	2592	72	22921893597497853725419/480276230381885549666939841959857291189341388800000000000000	137531361584987122352514/2200453451294991512083	62.5013728439	0	1
160	Q{aSUMxPaKFAMAW^anoV{^d@}I?	432	72	33106244644112403691583/576331476458262659600327810351828749427209666560000000000000	165531223220562018457915/2200453451294991512083	75.2259599598	0	0
161	Q{aSUMxVAsMQZALadqbBrDZgJv?	216	72	45050982781960987938131/576331476458262659600327810351828749427209666560000000000000	225254913909804939690655/2200453451294991512083	102.367497834	0	0
178	Q{e[{|OKIPGdOjOZdB@GhGck`Pw	4320	63	4354863777625137034889/35860625201847454375131508199669344408804157030400000000000	4899221749828279164250125/30806348318129881169162	159.032862293	0	1
183	Q{fU\ij?AghRKUILkUjItFf?XrG	144	72	117281780971171240015351/720414345572828324500409762939785936784012083200000000000000	469127123884684960061404/2200453451294991512083	213.195659108	0	0
170	Q{eCMYqR@chcKoS^`^pJ{^b@}Q?	108	72	6736709141746122289/33925000380157204892769643424444253103718400000000000000	572229547918199119472238/2200453451294991512083	260.050739806	0	0
176	Q{eS]iiR@cGuHrSZDMQUrLMXw]?	36	72	1200442982778164497195463/2881657382291313298001639051759143747136048332800000000000000	1200442982778164497195463/2200453451294991512083	545.543456996	0	0
159	Q{aKmYrT@SKNUQMKIZXXuRdOuMG	36	72	1254025631254320336367/2744435602182203140953941954056327378224807936000000000000	1316726912817036353185350/2200453451294991512083	598.388896635	0	0
29	QsaC????BbmM[[B{@}?^_^_@}??	559872	54	11272876679568530087/24112846424050197939168577326297299898335232000000000000	9430324986293053844279850/15403174159064940584581	612.232575501	0	1
147	Q{aKeijU@oIpJcSudfjB{Rr?uqG	36	72	121924711405177505662967/240138115190942774833469920979928645594670694400000000000000	1463096536862130067955604/2200453451294991512083	664.906833635	0	0
166	Q{bTSmNKaWAjAn[QlE`whUat`x_	36	72	23534196080339381490343/45740593369703385682565699234272122970413465600000000000000	1482654353061381033891609/2200453451294991512083	673.794918129	0	0
93	QsfDDjJB_kMaYaP]c^_r{^AhyT?	36	72	4183013567437235550629/8071869418182950414570417511930374641837670400000000000000	1493335843575093091574553/2200453451294991512083	678.649140565	0	0
189	Q~~w?CB?wF_^????_?W?F??{?Bw	2239488000	45	162470179636667849087/308717503459430564524203755162442703243837440000000000000	10615801537459877259344580/15403174159064940584581	689.195709133	0	1
175	Q{eS\fLKAGcPQD\FlRrB{F}?^e?	72	72	224452142918124151093111/411665340327330471143091293108449106733721190400000000000000	1571165000426869057651777/2200453451294991512083	714.018739866	0	0
92	QseuUmmOP@iJINErBeZKo\CliLO	36	72	1609147152893646524582387/2881657382291313298001639051759143747136048332800000000000000	1609147152893646524582387/2200453451294991512083	731.279796874	0	0
47	QsaKCCI@RSjQMcXXilPjW][@uo?	432	63	1028274457245735402153569/1793031260092372718756575409983467220440207851520000000000000	46272350576058093096910605/61612696636259762338324	751.01972649	0	0
180	Q{fDCYRS`WiWJGQnejrB{Vj?~Q?	36	72	1692241281665019538418401/2881657382291313298001639051759143747136048332800000000000000	1692241281665019538418401/2200453451294991512083	769.042072064	0	0
69	QsauUmmD?SeFQU\ElRbKNM\@XiG	36	72	1788420335079815086099123/2881657382291313298001639051759143747136048332800000000000000	1788420335079815086099123/2200453451294991512083	812.750814623	0	0
134	Qtic{w??B@iFQMPMGUyBmNw?~O?	2592	63	1175602376537625161801297/1793031260092372718756575409983467220440207851520000000000000	52902106944193132281058365/61612696636259762338324	858.623462896	0	1
33	QsaCCA??B}nu^[]{M}B^_V{?~o?	725760	72	125200267646675068916813/180103586393207081125102440734946484196003020800000000000000	2003204282346801102669008/2200453451294991512083	910.35976297	0	1
172	Q{eKmUsOHAhPLCRVeVro{R|?vi?	36	72	72982578529434133277273/102916335081832617785772823277112276683430297600000000000000	2043512198824155731763644/2200453451294991512083	928.677767585	0	0
164	Q{a[}elHACIBIFTVDVRB{Uqo{s_	36	72	192985430899710460279699/261968852935573936181967186523558522466913484800000000000000	2122839739896815063076689/2200453451294991512083	964.728310271	0	0
50	QsaKeijOpHIXJLNFJRZo{Zq@uoG	36	72	715273323527139626926709/960552460763771099333879683919714582378682777600000000000000	2145819970581418880780127/2200453451294991512083	975.171717138	0	0
158	Q{aKmUtQ@_hPLCW^hjpd{Vr?}q?	36	72	755952040259466933303973/960552460763771099333879683919714582378682777600000000000000	2267856120778400799911919/2200453451294991512083	1030.6312635	0	0
150	Q{eS]mmGIAiBIFXeM`zSmFY_ZsG	36	72	473488647098928251592419/576331476458262659600327810351828749427209666560000000000000	2367443235494641257962095/2200453451294991512083	1075.8888056	0	0
152	Q{a[|ZRHACDBSFW^mbRSxF[_ZkG	36	72	2421645640808966850807703/2881657382291313298001639051759143747136048332800000000000000	2421645640808966850807703/2200453451294991512083	1100.52118548	0	0
55	QsaKmijOP@iXJLYembbo{VqG}p?	36	72	2451587927014896030282829/2881657382291313298001639051759143747136048332800000000000000	2451587927014896030282829/2200453451294991512083	1114.12851091	0	0
42	QsaDKq{?z_@z\D]DLjI{sXyPZi?	36	72	361991060580358908337649/411665340327330471143091293108449106733721190400000000000000	2533937424062512358363543/2200453451294991512083	1151.55238688	0	0
174	Q{eS\fLHACiaIb[FlBrB{FyG^p?	36	72	2607556802136136715434187/2881657382291313298001639051759143747136048332800000000000000	2607556802136136715434187/2200453451294991512083	1185.0088447	0	0
60	QsaSSmNKIQKr[JYTerI[s]iD|O_	36	72	11317222418112343890931/12006905759547138741673496048996432279733534720000000000000	2716133380346962533823440/2200453451294991512083	1234.35166454	0	0
94	QsfLeUtQ@_gPHDRVeVrK{V[_zk?	36	72	104883759619342023146707/110832976241973588384678425067659374889848012800000000000000	2726977750102892601814382/2200453451294991512083	1239.27990774	0	0
156	Q{aKc|@GY`GTIFHFfb@[hUg`U`G	144	63	368073776358285148765643/358606252018474543751315081996693444088041570304000000000000	82816599680614158472269675/61612696636259762338324	1344.14827141	0	0
173	Q{eS\ZRIA_c`Od]FkjrD{Fz?^q?	36	72	3065586200247751254379/2814118537393860642579725636483538815562547200000000000000	3139160269053697284484096/2200453451294991512083	1426.59698946	0	0
149	QvaK[^nG`Aj@TDIVCrZ`rUR`UUG	36	72	21454038143168810740031/19603111444158593863956728243259481273034342400000000000000	3153743607045815178784557/2200453451294991512083	1433.22441345	0	0
53	QsaKlQrRJHJDSuHtFaqUX\STyJ?	18	72	150348455613004313165939/137221780109110157047697097702816368911240396800000000000000	3157317567873090576484719/2200453451294991512083	1434.84860632	0	0
49	QsaKc|OOhPcfW[WRDsHwbU``UIG	144	63	45246077955486531910649/40750710456644834517194895681442436828186542080000000000000	22396808587965833295771255/15403174159064940584581	1454.03852197	0	0
129	QtbKEUrOJcbpDqHslEhXmUdh|W?	18	72	60313984527310898249863/52393770587114787236393437304711704493382696960000000000000	3317269149002099403742465/2200453451294991512083	1507.53888797	0	0
148	Q{bLc]VG_Wn@YTMMKNYkKSnC\XO	18	72	3337089139136677521421129/2881657382291313298001639051759143747136048332800000000000000	3337089139136677521421129/2200453451294991512083	1516.54611788	0	0
141	Qui[eMjHAccZYBBLeeZSsStT\g_	18	72	3345737003269831188693187/2881657382291313298001639051759143747136048332800000000000000	3345737003269831188693187/2200453451294991512083	1520.47615518	0	0
151	Q{eSTnN?@_hB\FYfKUjItFl?^WG	36	72	284271707584423522117123/240138115190942774833469920979928645594670694400000000000000	3411260491013082265405476/2200453451294991512083	1550.25342118	0	0
115	QtaK\]^OQ@hbKe\AnAZKwUfCpf_	36	72	94938133305642104917111/73888650827982392256452283378439583259898675200000000000000	3702587198920042091767329/2200453451294991512083	1682.64736377	0	0
54	QsaKmij?@SibYT[MmYjXsVt?}w?	36	72	1918075766214498148466963/1440828691145656649000819525879571873568024166400000000000000	3836151532428996296933926/2200453451294991512083	1743.34591362	0	0
179	Q{e]|{??G@kEWJWFbF?hpBMLbF?	1296	63	66426285754087179313117/49806423891454797743238205832874089456672440320000000000000	26902645730405307621812385/15403174159064940584581	1746.56505553	0	1
111	QsqUTmnGJCcNDQFDhrQsM\EhwTO	18	72	321392809611011184585257/240138115190942774833469920979928645594670694400000000000000	3856713715332134215023084/2200453451294991512083	1752.69043436	0	0
82	QseSSmNGIAmRZFXeMDZQjNi@^OG	36	72	3861831652608306048319399/2881657382291313298001639051759143747136048332800000000000000	3861831652608306048319399/2200453451294991512083	1755.01629009	0	0
187	Q}q|o?@?WB?K?V?V?Fw@}^_@}??	3359232	54	1286360992827717798689/950849910655046138734547565900323525991019315200000000000	191024607434916093105316500/107822219113454584092067	1771.66273339	0	1
95	QsfLe}}?AAcERFKfKRjG|VU_yt?	36	72	2196023181722806752936791/1440828691145656649000819525879571873568024166400000000000000	4392046363445613505873582/2200453451294991512083	1995.97331216	0	0
127	QtaLc[gDBGkcUHUEG\IElK\OMy?	72	63	396353748888972014400497/256147322870338959822367915711923888634315407360000000000000	17835918700003740648022365/8801813805179966048332	2026.39127512	0	0
67	Qsa]CExIOLLHUQLtnRRLs\V@]s?	18	72	4645239243030534621735329/2881657382291313298001639051759143747136048332800000000000000	4645239243030534621735329/2200453451294991512083	2111.03726839	0	0
99	QsiL[m\OHCkbUFYVISradTYK}X?	18	72	5002950424636492604066101/2881657382291313298001639051759143747136048332800000000000000	5002950424636492604066101/2200453451294991512083	2273.59975358	0	0
126	QtaLSlAOX``eXHXEJAqpQKpSNI_	72	63	13510857245244493993961/7533744790304087053599056344468349665715159040000000000000	10335805792612037905380165/4400906902589983024166	2348.56269887	0	0
109	Qsik[mZQBOIRWVDLkfOfq[TT}G_	18	72	17453966413094456071681/9702550108724960599332118019391056387663462400000000000000	5183828024689053453289257/2200453451294991512083	2355.7999019	0	0
169	Q{eCKJzAQKbJMQ@|krrkg]Qp}OO	18	72	341427255061014892030421/180103586393207081125102440734946484196003020800000000000000	5462836080976238272486736/2200453451294991512083	2482.59561126	0	0
72	Q}aK\]^CHalATEWbBJokvWlPkFG	18	72	25140445694587612475491/12864541885229077223221602909639034585428787200000000000000	5631459835587625194509984/2200453451294991512083	2559.22697764	0	0
59	QsaSLUy@J?ijYd[dJrJqsFyPli?	18	72	65338234706426267311769/31666564640563882395622407162188392825670860800000000000000	5945779358284790325370979/2200453451294991512083	2702.07004597	0	0
