id	g6	aut	edges	L	ratio	ratio_float	beat	aut_ge_T
86	Qse[{|OIIPGdOjKECaXCjWZ``Po	288	63	64886206070790013910339/29883854334872878645942923499724453674003464192000000000000	43798189097783259389478825/15403174159064940584581	2843.45217716	0	0
167	Q{bc{|OQHOE@CjCl`N?QxXKXcMO	72	63	65692321223405429980907/28016113438943323730571490780991675319378247680000000000000	47298471280851909586253040/15403174159064940584581	3070.69638974	0	0
114	QtaK[}nOIAhbLE[anAYkwYfCpf_	18	72	2470337449670304459062249/960552460763771099333879683919714582378682777600000000000000	7411012349010913377186747/2200453451294991512083	3367.94779487	0	0
39	QsaCSKG@IqlIMSTjKsplS]k@to?	108	63	27305816705267412313759/10547242706425721875038678882255689532001222656000000000000	104444748897647852100128175/30806348318129881169162	3390.36447355	0	0
124	QtaK[^^OIOhbKbKqmJbExNCpsRG	18	72	1093747648109669801454179/411665340327330471143091293108449106733721190400000000000000	7656233536767688610179253/2200453451294991512083	3479.38900151	0	0
58	QsaSCUmBBBiMZB[sfravc\t@}H?	18	72	1569425610726057413541967/576331476458262659600327810351828749427209666560000000000000	7847128053630287067709835/2200453451294991512083	3566.14135555	0	0
165	Q{a\[zzO_aaJWDWFkRow]FQtmo_	18	72	8522530514063056758305063/2881657382291313298001639051759143747136048332800000000000000	8522530514063056758305063/2200453451294991512083	3873.07920967	0	0
102	QsiTKoH@iXHaW\SmFB@hHWpTRI_	36	63	5396445562164362513246177/1793031260092372718756575409983467220440207851520000000000000	242840050297396313096077965/61612696636259762338324	3941.39623089	0	0
118	QtaCKSaCPXbeY`TQkqarPX[`Yp?	36	63	830214824872982769784631/224128907511546589844571926247933402555025981440000000000000	74719334238568449280616790/15403174159064940584581	4850.90498017	0	0
57	QsaLSlAOXCaKUJXFmcbooJdC\g_	36	63	3589508627868779395068481/896515630046186359378287704991733610220103925760000000000000	161527888254095072778081645/30806348318129881169162	5243.33123115	0	0
98	QsfTVLCGiHCRSLIM@Tgg{UOcx@g	36	63	1208929739385375309793481/298838543348728786459429234997244536740034641920000000000000	163205514817025666822119935/30806348318129881169162	5297.78840165	0	0
97	QsfTVLCGaHcUSLIM@Tgg{UOcx@g	36	63	103623334790928711819611/25614732287033895982236791571192388863431540736000000000000	23315250327958960159412475/4400906902589983024166	5297.82857125	0	0
104	QsiTc\_SAAGVBFBJNDJgsI{OVq?	36	63	661241306757263459036651/163002841826579338068779582725769747312746168320000000000000	327314446844845412223142245/61612696636259762338324	5312.45124324	0	0
123	QtaKSLOGhBj@TDI\CtYqSTdDn_?	36	63	783888119752427419114543/179303126009237271875657540998346722044020785152000000000000	176374826944296169300772175/30806348318129881169162	5725.27535958	0	0
70	QsbLfo?SHP?rEGTLdTqZSK{`e[?	36	63	25748696340343226945063/5859579281347623263910377156808716406667345920000000000000	177279774303263117516758755/30806348318129881169162	5754.65071266	0	0
101	QsiStKG@ABgVUDXINCjgsI{OVq?	36	63	7968078254411684864145961/1793031260092372718756575409983467220440207851520000000000000	358563521448525818886568245/61612696636259762338324	5819.63687721	0	0
103	QsiT[|@OiHhEIIDDMDR_iDPsiJ_	36	63	9178583263729680145590571/1793031260092372718756575409983467220440207851520000000000000	413036246867835606551575695/61612696636259762338324	6703.75213905	0	0
145	QujT]}~?A?cBSFIFibpSyTUgitO	36	72	3853290956481133022024233/720414345572828324500409762939785936784012083200000000000000	15413163825924532088096932/2200453451294991512083	7004.53982194	0	0
40	QsaCSKQGQckLVLZMBq`ZO\cDx__	36	63	785472161632051971753563/137925481545567132212044262306420555418477527040000000000000	459501214554750403475834355/61612696636259762338324	7457.89812232	0	0
85	Qse[{|OIIHHDHDKEgT`AfWZHaRO	108	63	1296639586391715111013553/224128907511546589844571926247933402555025981440000000000000	116697562775254359991219770/15403174159064940584581	7576.20225352	0	0
155	Q{aKcLAM@hHMIYKRGrasFJkPTq?	18	63	2821224111150455866619/465722405218798108767941664930770706607846195200000000000	34912648375486891349410125/4400906902589983024166	7933.05769657	0	0
177	Q{eUTKSHGJ@VSAUGfAqK{IQxbp?	18	63	34174207915329986075179/5433428060885977935625986090858991577091538944000000000000	253743493771325146608204075/30806348318129881169162	8236.72741576	0	0
90	QsedSh@W?LaNY@DdHZQZa[i_{b?	18	63	12151905751141025815265071/1793031260092372718756575409983467220440207851520000000000000	546835758801346161686928195/61612696636259762338324	8875.3745357	0	0
125	QtaKtH@Q@GcUQjD^JGQkhW}?{g_	18	63	12129570970600329482009/1768275404430347848872362337261801992544583680000000000000	276736161694246517132035335/30806348318129881169162	8983.08877237	0	0
88	QsecmSSDADdCWCE\g\pMk]E`kk?	18	63	38373810581103910016609/5433428060885977935625986090858991577091538944000000000000	284925543564696531873321825/30806348318129881169162	9248.92300192	0	0
119	QtaC]x@DAPeDWkLEhPjHHBtCyq?	18	63	163442427491522345512037/22987580257594522035340710384403425903079587840000000000000	286841460247621716373624935/30806348318129881169162	9311.11527032	0	0
87	Qsec\dOOiAabRIXDL@hpsHxGZb?	18	63	2585596971086927353949647/358606252018474543751315081996693444088041570304000000000000	581759318494558654638670575/61612696636259762338324	9442.19860931	0	0
140	QuauT[?SGTcLDHXKdTaosEXdeP_	18	63	1527969327419119989159979/179303126009237271875657540998346722044020785152000000000000	343793098669301997560995275/30806348318129881169162	11159.8133969	0	0
48	QsaKc|@PGdeAWRUKkoxtoJh@kKG	18	63	485327095584198965335481/54334280608859779356259860908589915770915389440000000000000	720710736942535463523189285/61612696636259762338324	11697.4386172	0	0
68	Qsacuw?OWgiEGjEzMbP\SYh@koG	18	63	5953610620974429715329023/597677086697457572918858469994489073480069283840000000000000	803737433831548011569418105/61612696636259762338324	13044.9968547	0	0
56	QsaKtLOS@GceOnSjDNaqEJ]@}?O	18	63	533032145893933750351843/49806423891454797743238205832874089456672440320000000000000	215878019087043168892496415/15403174159064940584581	14015.1644627	0	0
89	Qsec|[?SJ?gfOlCXbDZJOZECy`_	18	63	478322060360643675667243/32018415358792369977795989463990486079289425920000000000000	43048985432457930810051870/2200453451294991512083	19563.6882967	0	0
32	QsaCC???BNne]k][I}A^_Nw?~O?	2592	63	27520480491984331025797879/1793031260092372718756575409983467220440207851520000000000000	1238421622139294896160904555/61612696636259762338324	20100.1041953	0	1
35	QsaCCCaCWjDRTXYejkb[o^W@}O?	36	63	1428475690312364267372173/89651563004618635937828770499173361022010392576000000000000	321407030320281960158738925/15403174159064940584581	20866.2855462	0	0
41	QsaC[W?PHchd[\S|ND@e`NIDn_?	18	63	4273854319623926398609811/256147322870338959822367915711923888634315407360000000000000	192323444383076687937441495/8801813805179966048332	21850.4331766	0	0
113	Qsu}tk??I@cFQFHJGVPBiUcgt`O	36	63	1779972392786652747141737/105472427064257218750386788822556895320012226560000000000000	1361678880481789351563428805/61612696636259762338324	22100.6213788	0	0
112	Qsuu|w??I@cFQFHJGVPBiUcgt`O	36	63	222498293743130256376823/13184053383032152343798348602819611915001528320000000000000	340422389426989292256539190/15403174159064940584581	22100.7946746	0	0
84	Qse[{{oSAPcePEIHGRXBMWUhadO	36	63	194496489918051587630381/11206445375577329492228596312396670127751299072000000000000	350093681852492857734685800/15403174159064940584581	22728.671262	0	0
139	QuaT^W?C?PgeSNIKif`TqIyPvC?	18	63	33185799313931882107321757/1793031260092372718756575409983467220440207851520000000000000	1493360969126934694829479065/61612696636259762338324	24237.8771042	0	0
133	Qti\Kt?OGB_UWJQFgbq`ZNs?~_?	72	63	5251401761034196190439157/256147322870338959822367915711923888634315407360000000000000	236313079246538828569762065/8801813805179966048332	26848.2252042	0	0
65	Qsa[p@?SPPgiOsKGCdXDYQPo^_?	288	54	118706496883323110008627/5433428060885977935625986090858991577091538944000000000000	881395739358674091814055475/30806348318129881169162	28610.8476817	0	0
163	Q{a[o?@SP`giOsIGCdhDUQPo^_?	288	54	52148333335637716868981/2282039785572110732962914158160776462378446356480000000000	3226678125142583731268199375/107822219113454584092067	29925.910927	0	0
130	QtiT[{??J@iFPLQMGIyDVNS?}_G	36	63	7396781719480680834317729/224128907511546589844571926247933402555025981440000000000000	665710354753261275088595610/15403174159064940584581	43219.0370555	0	0
30	QsaC?CCPPDaUBRMkMSRYGVQ@x_?	144	54	161890176927780551035063/2377124776637615346836368914750808814977548288000000000000	9616276509510164731482742200/107822219113454584092067	89186.4087808	0	0
157	Q{aKh@?SQQdCKHAtAe_TUDQhf_?	72	54	182830027529101689761809/2593227029059216742003311543364518707248234496000000000000	9955094998959587007530500050/107822219113454584092067	92328.7897505	0	0
37	QsaCG?@PPDaUBR]WMU@tCZQ@\C?	144	54	1455513458180999263841857/19016998213100922774690951318006470519820386304000000000000	10807187426993919534025788225/107822219113454584092067	100231.54333	0	0
78	QseCG?QB@agYHXQYEmAV_[_pkK?	72	54	6646037047537420429031/79237492554587178227878963825026960499251609600000000000	11843238018711683204533242000/107822219113454584092067	109840.421725	0	0
137	Q{fcw@@CXA@HWISKd@ooj@{?FKG	72	54	2955635988488072819679397/28525497319651384162036426977009705779730579456000000000000	14630398143015960457413015150/107822219113454584092067	135690.011422	0	0
162	Q{aSW@PIYJCYObHB@WGiDUCcw`_	36	54	2610352015406827668901213/19016998213100922774690951318006470519820386304000000000000	19381863714395695441591506525/107822219113454584092067	179757.603523	0	0
63	QsaSYGbOpHH@KCQEeB_ULDHpx_?	36	54	189460457294301001889893/1358357015221494483906496522714747894272884736000000000000	2813487790820369878064911050/15403174159064940584581	182656.364316	0	0
64	QsaSYGbOpHH@KDQEEBGULDHpx_?	36	54	6686915854700209129583/47942012301935099431993994919344043327278284800000000000	2813519845865112991272047250/15403174159064940584581	182658.445383	0	0
77	QseCG?QB@EglSoJOemAV_[DPgi?	36	54	692812222801010714997677/4564079571144221465925828316321552924756892712960000000000	42867756285812537990481264375/215644438226909168184134	198789.065177	0	0
171	Q{eKi?`?gIH@KCSRdEqEwHM_^_?	36	54	115323433766285143864937/679178507610747241953248261357373947136442368000000000000	3425105982858668772788628900/15403174159064940584581	222363.647096	0	0
143	QujL_?D?qAcKCtBYGf@DhUAOwEG	36	54	20744715549321304783566481/114101989278605536648145707908038823118922317824000000000000	51343170984570229339327040475/215644438226909168184134	238091.79317	0	0
135	Qtm|w?@?YAGDOFA[?mGFbWB`OMG	1296	54	50289453151169303540219/265972002980432486359314004447642944333152256000000000000	53396084119582787266416028725/215644438226909168184134	247611.691535	0	1
66	Qsa[q?_?oDGmHYQFDBR`P[SO^_?	36	54	11189206730907510311477/56994000638664104219853000953066345214246912000000000000	3960139992236440586989497225/15403174159064940584581	257098.955796	0	0
38	QsaCG@HKWh@RWqXPEcQSbMq@\C?	36	54	83679646588710538020673/419492607641932120029947455544260379113684992000000000000	28166569041759967097758531800/107822219113454584092067	261231.583558	0	0
52	QsaKg@@GYCccSVIZIh@UGUcG{_O	36	54	5798074890220769038855589/28525497319651384162036426977009705779730579456000000000000	28700470706592806742335165550/107822219113454584092067	266183.268556	0	0
61	QsaSW?OAHEgkSTIYim@V_[`@kGG	36	54	1826465321257761399273731/8777076098354272049857362146772217162994024448000000000000	58766521711468473021632294925/215644438226909168184134	272515.823708	0	0
136	QtrTO?@@GEdCSOPUcV_jcAz@wE?	36	54	3050938602001280476102769/14262748659825692081018213488504852889865289728000000000000	30204292159812676713417413100/107822219113454584092067	280130.500078	0	0
182	Q{fTO?@@GEdCSOPUcV_jcAz@wE?	36	54	938752893068022928099891/4388538049177136024928681073386108581497012224000000000000	30204374334463637711613992925/107822219113454584092067	280131.262209	0	0
79	QseKg??SPPCUPQO{clbQc[J?^_?	36	54	2086040187107559879336601/9508499106550461387345475659003235259910193152000000000000	30977696778547264208148524850/107822219113454584092067	287303.461506	0	0
80	QseKg??SPPcSPPO{clbQc[J?^_?	36	54	8344198351105662011534123/38033996426201845549381902636012941039640772608000000000000	61955672756959540435640863275/215644438226909168184134	287304.756229	0	0
181	Q{fLg?@?YA`ICXGYKFGpkXaO]E?	72	54	6308080060487651962157/27863733645569117618594800465943546549187379200000000000	9133311417578559084708066375/30806348318129881169162	296474.977276	0	0
62	QsaSX?DS@R`YB@KHiDRD`Wop\O?	18	54	35967127555353971033294513/114101989278605536648145707908038823118922317824000000000000	89018640699501078307403919675/215644438226909168184134	412802.859334	0	0
27	QsaC????ANfM[k\SLkAv?Jk?^O?	216	54	499609546429347515844811/1584749851091743564557579276500539209985032192000000000000	44515210586854863661772660100/107822219113454584092067	412857.488492	0	0
100	QsiSY?_AOPGRCeDYmDbacPx?lo?	18	54	36171454134212773171550129/114101989278605536648145707908038823118922317824000000000000	89524348982176613599586569275/215644438226909168184134	415147.961702	0	0
96	QsfLg?@?Y@cJPJGrHEPaaVGGz?O	36	54	19949247774365892913465771/57050994639302768324072853954019411559461158912000000000000	49374388241555584960827783225/107822219113454584092067	457924.059137	0	0
81	QseKi?GWHDceIOOwi?yITKZ?^O?	18	54	3998147750592328992494021/11410198927860553664814570790803882311892231782400000000000	49477078413580071282113509875/107822219113454584092067	458876.461831	0	0
51	QsaKg@??pFCbI\CxLKAia]I@[O_	18	54	46439722040273602456589423/114101989278605536648145707908038823118922317824000000000000	114938312049677166080058821925/215644438226909168184134	532999.195318	0	0
144	QujLg?@?YAcEAXCYIFHQkTaOmE?	36	54	2859214752225124774336543/6338999404366974258230317106002156839940128768000000000000	63689008605814654348346495325/107822219113454584092067	590685.381264	0	0
128	QtaLw?HOAFIBPZBCEMB?iBSSp`_	18	54	2937983788249629863548073/6338999404366974258230317106002156839940128768000000000000	65443588883260505210533326075/107822219113454584092067	606958.282081	0	0
105	QsiTw?@OOF?lOLDQhErP_LQPwOO	18	54	86905351789712628927519041/114101989278605536648145707908038823118922317824000000000000	215090745679538756595609626475/215644438226909168184134	997432.381971	0	0
142	Qui}w?@?WB?NOTGJIIPPQScgkHO	36	54	39961576066361285430195427/38033996426201845549381902636012941039640772608000000000000	296714702292732544319201045475/215644438226909168184134	1375944.14552	0	0
31	QsaCC???A^e}Z[\kNMBt_Vs?~_?	36	63	123631094742099180912685553/112064453755773294922285963123966701277512990720000000000000	22253597053577852564283399540/15403174159064940584581	1444740.98804	0	0
184	Q{fw?CB?wE?X?K?Kk@b?XE?oWBG	9216	45	685439091664846136954879/617435006918861129048407510324885406487674880000000000000	22393295124690523294315896930/15403174159064940584581	1453810.42202	0	1
28	QsaC????BRmMQ{L[Hu@m_Vg?~??	36	54	6402779760042439716598477/2716714030442988967812993045429495788545769472000000000000	47540639718315114895743691725/15403174159064940584581	3086418.37243	0	0
22	Qsa?????BEkUW[EwA{?^?VC?{O?	1296	45	1541034779597136216835027/411623337945907419365605006883256937658449920000000000000	75518409374157660306000498135/15403174159064940584581	4902782.28333	0	1
26	QsaC????@Nb]Tk[sL[BX_VS?|_?	18	54	53994584707956457337831561/14262748659825692081018213488504852889865289728000000000000	534546388608768927644532453900/107822219113454584092067	4957664.50555	0	0
153	Q}j\w?@?WB?J?\?]?Dw?~]_@{?G	648	54	15804315323193231782824469/3565687164956423020254553372126213222466322432000000000000	625850886798451978599848972400/107822219113454584092067	5804470.46949	0	1
43	QsaG??A?QUGfHKDKDWOuA[g@pO?	432	45	1561880689347964720250987/308717503459430564524203755162442703243837440000000000000	102053284241996014821199490580/15403174159064940584581	6625471.03526	0	0
46	QsaH?_`CaCgKQoPKch?kGIDGWgO	216	45	32828011230014383824709/4749500053222008684987750079422195434520576000000000000	139423846494994089541921593900/15403174159064940584581	9051630.85577	0	0
122	QtaIA@@O`E@T@UCLdA@H@EOGU?W	144	45	2307265451155460367452357/205811668972953709682802503441628468829224960000000000000	226135086867746670614005509570/15403174159064940584581	14681070.5724	0	0
121	QtaG?C@?jEIFQcPWdO@I@ECGS_W	144	45	8235577826533333019780473/617435006918861129048407510324885406487674880000000000000	269056327592843989756228052910/15403174159064940584581	17467589.7847	0	0
24	Qsa??CCAATCjDSEgGiHTC[W@qO?	108	45	10876022642989949380342103/617435006918861129048407510324885406487674880000000000000	355319659746481646255776505010/15403174159064940584581	23067950.5456	0	0
20	Qsa?????@ed[D[BkKwBH_US@Y_?	144	45	16956094167081971228759/659652785169723428470520844364193810350080000000000000	518502438266499648040768912080/15403174159064940584581	33662051.2702	0	0
45	QsaG??aCQdKIDHIEGkAS`HoOZA?	36	45	91142100881695315331791/1960111133075749616026690508967890179325952000000000000	133992559611224367835032538650/2200453451294991512083	60893157.9681	0	0
120	QtaG?@@OgU_{W`SQdA?h?HOKY?o	36	45	183425386047959900692171/3742030344962794721505500062575063069622272000000000000	988763714760830242676182384050/15403174159064940584581	64192205.0968	0	0
